theater_name,theater_address,jibunAddress,theater_lat,theater_lon
CGV 수유,서울특별시 강북구 수유동 도봉로 399,서울특별시 강북구 수유동 168-12,37.6424159,127.0298203
CGV 신촌아트레온,서울특별시 서대문구 신촌동 신촌로 129,서울특별시 마포구 노고산동 40-1,37.5557622,126.9399549
CGV 압구정,서울특별시 강남구 신사동 압구정로30길 45,서울특별시 강남구 신사동 602,37.5243393,127.0294194
CGV 여의도,"서울특별시 영등포구 여의동 국제금융로 10, 지하 3층",서울특별시 영등포구 여의도동 23 서울 국제금융 센터,37.5251829,126.9248706
CGV 영등포,"서울특별시 영등포구 영등포동4가 441-10, 경방 타임스퀘어 4층",서울특별시 영등포구 영등포동4가 441-10,37.5170147,126.9032983
CGV 왕십리,서울특별시 성동구 행당1동 왕십리광장로 17,서울특별시 성동구 행당동 168-151 왕십리민자역사,37.5613927,127.038469
CGV 용산아이파크몰,서울특별시 용산구 한강로3가 한강대로23길 55,서울특별시 용산구 한강로3가 40-999 용산역,37.5297718,126.9647415
CGV 중계,서울특별시 노원구 중계2.3동 동일로204가길 12,서울특별시 노원구 중계동 509-2 홈플러스,37.6398605,127.0686561
CGV 천호,서울특별시 강동구 천호동 양재대로 1571,서울특별시 강동구 천호동 42 천호복합 상업시설,37.5457146,127.1422553
CGV 청담씨네시티,"서울특별시 강남구 도산대로 323, 씨네시티빌딩 14층",서울특별시 강남구 신사동 651-21 씨네시티빌딩,37.5228972,127.0370162
CGV 피카디리1958,"서울특별시 종로구 돈의동 돈화문로5가길 1, B2",서울특별시 종로구 돈의동 137 피카디리플러스,37.5709889,126.9912905
CGV 하계,서울특별시 노원구 중계동 506-1,서울특별시 노원구 중계동 506-1 건영옴니백화점,37.6388308,127.0647676
CGV 홍대,서울특별시 마포구 서교동 양화로 153,서울특별시 마포구 동교동 159-8 토로스 쇼핑타워,37.5565056,126.9226503
CINE de CHEF 압구정,서울특별시 강남구 신사동 압구정로30길 45,서울특별시 강남구 신사동 602,37.5243393,127.0294194
CINE de CHEF 용산아이파크몰,서울특별시 용산구 한강로3가 한강대로23길 55,서울특별시 용산구 한강로3가 40-999 용산역,37.5297718,126.9647415
CGV 경기광주,경기도 광주시 역동 22-56,경기도 광주시 역동 22-56,37.4078637,127.2586639
CGV 고양행신,경기도 고양시 덕양구 행신2동 762-2,경기도 고양시 덕양구 행신2동 762-2,37.6136159,126.834508
CGV 광교,경기도 수원시 영통구 하동 955-70,경기도 수원시 영통구 하동 955-70,37.2856195,127.0574311
CGV 광교상현,"경기도 용인시 수지구 상현동 1116-4, W스퀘어 2층",경기도 용인시 수지구 상현동 1116-4,37.2969473,127.0680565
CGV 구리,경기도 구리시 인창동 경춘로 243,경기도 구리시 인창동 676-2 CGV구리,37.6017939,127.1420911
CGV 김포운양,경기도 김포시 운양동 김포한강11로 288-31,경기도 김포시 운양동 1296-9 에이스프라자,37.6548457,126.6840592
CGV 김포풍무,"경기도 김포시 풍무동 38-1, 홈플러스 지하1층",경기도 김포시 풍무동 38-1,37.6099547,126.723679
CGV 김포한강,경기도 김포시 걸포동 1574-4,경기도 김포시 걸포동 1574-4,37.6323108,126.7077649
CGV 동백,경기도 용인시 기흥구 동백동 동백죽전대로 444,경기도 용인시 기흥구 중동 833 쥬네브썬월드빌딩,37.27795,127.1515224
CGV 동수원,경기도 수원시 팔달구 인계동 1113-12,경기도 수원시 팔달구 인계동 1113-12 씨네파크,37.2635908,127.0321196
CGV 동탄,경기도 화성시 반송동 98,경기도 화성시 반송동 98 메타폴리스,37.2027941,127.0684801
CGV 동탄역,경기도 화성시 오산동 967-2416,경기도 화성시 오산동 967-2416,37.2027994,127.0982582
CGV 동탄호수공원,경기도 화성시 동탄면 산척리 89,경기도 화성시 산척동 산89,37.1663059,127.1155
CGV 배곧,"경기도 시흥시 경기도 시흥시 서울대학로278번길 61, 6층 621호",경기도 시흥시 정왕동 2537-2 서영베니스스퀘어,37.3681662,126.730675
CGV 범계,"경기도 안양시 동안구 동안로 119, 11층(호계동)",경기도 안양시 동안구 호계동 1039-3 킴스아울렛,37.3891932,126.9515747
CGV 부천,"경기도 부천시 길주로 180, 현대백화점부천중동점 U-PLEX 5층",경기도 부천시 중동 1164 현대백화점부천중동점,37.504318,126.7620841
CGV 부천역,경기도 부천시 원미구 심곡2동 부일로 460,경기도 부천시 심곡동 383-1 시네마존,37.4859191,126.7810203
CGV 부천옥길,경기도 부천시 옥길동 745-6,경기도 부천시 옥길동 745-6 문영 퀸즈파크 C,37.4674309,126.8236702
CGV 북수원,경기도 수원시 장안구 조원동 893,경기도 수원시 장안구 조원동 893 아울렛쇼핑타운,37.3035264,127.0074437
CGV 산본,경기도 군포시 산본동 번영로 505,경기도 군포시 산본동 1142-2 대우디오플러스,37.3587974,126.9332061
CGV 서현,경기도 성남시 분당구 서현동 256,경기도 성남시 분당구 서현동 256 비전월드,37.3873599,127.1224439
CGV 성남모란,경기도 성남시 중원구 성남동 3499,경기도 성남시 중원구 성남동 3499 니즈몰,37.4313921,127.1297659
CGV 소풍,경기도 부천시 원미구 상동 송내대로 239,경기도 부천시 상동 539-1 부천터미널소풍,37.5041589,126.7567042
CGV 수원,경기도 수원시 팔달구 매산동 덕영대로 924,경기도 수원시 팔달구 매산로1가 18 AK플라자,37.2656796,127.0002404
CGV 스타필드시티위례,경기도 하남시 학암동 660,경기도 하남시 학암동 660 스타필드시티 위례점,37.480055,127.148397
CGV 시흥,경기도 시흥시 대야동 복지로 90,경기도 의왕시 내손동 683-6 서울다세대,37.3857406,126.9805578
CGV 안산,"경기도 안산시 단원구 고잔동 광덕대로 194, NC백화점 A관 6층",경기도 안산시 단원구 고잔동 725-1 2001아울렛,37.3134744,126.8310246
CGV 안성,경기도 안성시 석정동 아양2로 109,경기도 안성시 석정동 139-1,37.0121891,127.2572136
CGV 야탑,경기도 성남시 분당구 야탑동 성남대로925번길 16,경기도 성남시 분당구 야탑동 341 분당종합터미널,37.4131098,127.1273427
CGV 양주옥정,경기도 양주시 옥정동 963-12,경기도 양주시 옥정동 963-12,37.8194316,127.0921666
CGV 역곡,경기도 부천시 역곡3동 경인로 505,경기도 부천시 괴안동 113-1 역곡하이뷰,37.4844859,126.8111066
CGV 오리,경기도 성남시 분당구 구미1동 탄천상로151번길 20,"경기도 성남시 분당구 구미동 159 월드쇼핑,삼성SDA",37.3403273,127.1068142
CGV 오산,경기도 오산시 대원동 원동로 22,경기도 오산시 원동 335-10,37.1420139,127.0710131
CGV 오산중앙,경기도 오산시 대원동 원동로 22,경기도 오산시 원동 335-10,37.1420139,127.0710131
CGV 용인,경기도 용인시 처인구 김량장동 금령로 86,경기도 용인시 처인구 김량장동 301-3,37.2350825,127.2058051
CGV 의정부,경기도 의정부시 의정부동 평화로 525,경기도 의정부시 의정부동 168-54 의정부민자역사,37.7379901,127.0458795
CGV 의정부태흥,경기도 의정부시 의정부동 시민로 80,경기도 의정부시 의정부동 494 센트럴타워,37.7381114,127.04387
CGV 이천,경기도 이천시 중리동 중리천로 58,경기도 이천시 중리동 201-1,37.2796454,127.4441586
CGV 일산,경기도 고양시 일산동구 장항동 정발산로 24,경기도 고양시 일산동구 장항동 868 웨스턴돔1,37.6557939,126.7721369
CGV 정왕,경기도 시흥시 정왕1동 정왕대로 210,경기도 시흥시 정왕동 1734-2 E MART시화점,37.3459274,126.736907
