CGV 강남
CGV 강변
CGV 건대입구
CGV 구로
CGV 대학로
CGV 동대문
CGV 등촌
CGV 명동
CGV 명동역 씨네라이브러리
CGV 목동
CGV 미아
CGV 불광
CGV 상봉
CGV 성신여대입구
CGV 송파
CGV 수유
CGV 신촌아트레온
CGV 압구정
CGV 여의도
CGV 영등포
CGV 왕십리
CGV 용산아이파크몰
CGV 중계
CGV 천호
CGV 청담씨네시티
CGV 피카디리1958
CGV 하계
CGV 홍대
CINE de CHEF 압구정
CINE de CHEF 용산아이파크몰
CGV 경기광주
CGV 고양행신
CGV 광교
CGV 광교상현
CGV 구리
CGV 김포운양
CGV 김포풍무
CGV 김포한강
CGV 동백
CGV 동수원
CGV 동탄
CGV 동탄역
CGV 동탄호수공원
CGV 배곧
CGV 범계
CGV 부천
CGV 부천역
CGV 부천옥길
CGV 북수원
CGV 산본
CGV 서현
CGV 성남모란
CGV 소풍
CGV 수원
CGV 스타필드시티위례
CGV 시흥
CGV 안산
CGV 안성
CGV 야탑
CGV 양주옥정
CGV 역곡
CGV 오리
CGV 오산
CGV 오산중앙
CGV 용인
CGV 의정부
CGV 의정부태흥
CGV 이천
CGV 일산
CGV 정왕
CGV 죽전
CGV 파주문산
CGV 파주야당
CGV 판교
CGV 평촌
CGV 평택
CGV 평택소사
CGV 포천
CGV 화성봉담
CGV 화정
CGV 계양
CGV 남주안
CGV 부평
CGV 연수역
CGV 인천
CGV 인천공항
CGV 인천논현
CGV 인천연수
CGV 인천학익
CGV 주안역
CGV 청라
CGV 강릉
CGV 원주
CGV 인제
CGV 춘천
CGV 당진
CGV 대전
CGV 대전가수원
CGV 대전가오
CGV 대전탄방
CGV 대전터미널
CGV 보령
CGV 서산
CGV 세종
CGV 유성노은
CGV 천안
CGV 천안터미널
CGV 천안펜타포트
CGV 청주(서문)
CGV 청주성안길
CGV 청주율량
CGV 청주지웰시티
CGV 청주터미널
CGV 충북혁신
CGV 홍성
CGV 대구
CGV 대구수성
CGV 대구스타디움
CGV 대구아카데미
CGV 대구월성
CGV 대구이시아
CGV 대구칠곡
CGV 대구한일
CGV 대구현대
CGV 남포
CGV 대연
CGV 동래
CGV 서면
CGV 서면삼정타워
CGV 센텀시티
CGV 아시아드
CGV 울산삼산
CGV 울산신천
CGV 울산진장
CGV 정관
CGV 하단아트몰링
CGV 해운대
CGV 화명
CINE de CHEF 센텀
CGV 거제
CGV 구미
CGV 김천율곡
CGV 김해
CGV 김해율하
CGV 김해장유
CGV 마산
CGV 북포항
CGV 안동
CGV 양산물금
CGV 양산삼호
CGV 창원
CGV 창원더시티
CGV 통영
CGV 포항
CGV 광양
CGV 광양 엘에프스퀘어
CGV 광주금남로
CGV 광주상무
CGV 광주용봉
CGV 광주첨단
CGV 광주충장로
CGV 광주터미널
CGV 광주하남
CGV 군산
CGV 나주
CGV 목포
CGV 목포평화광장
CGV 서전주
CGV 순천
CGV 순천신대
CGV 여수웅천
CGV 익산
CGV 전주고사
CGV 전주효자
CGV 정읍
CGV 제주
CGV 제주노형
